"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript JSX", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\kopan\OneDrive\Desktop\pipes\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\kopan\OneDrive\Desktop\pipes\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\Link\Link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\alert\alert.module.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\alert\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\loader\loader.module.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\loader\loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\range\range.module.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\range\range.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\kopan\OneDrive\Desktop\pipes\components\canvas\canvas.module.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\kopan\OneDrive\Desktop\pipes\components\canvas\canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 8, 101
"c:\Users\kopan\OneDrive\Desktop\pipes\components\canvas\utils.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 14, 178
"c:\Users\kopan\OneDrive\Desktop\pipes\components\file-loader\file-loader.module.css", "CSS", 0, 0, 0, 72, 0, 0, 0, 0, 0, 11, 83
"c:\Users\kopan\OneDrive\Desktop\pipes\components\file-loader\file-loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 9, 100
"c:\Users\kopan\OneDrive\Desktop\pipes\components\floor-form\floor-form.module.css", "CSS", 0, 0, 0, 77, 0, 0, 0, 0, 0, 10, 87
"c:\Users\kopan\OneDrive\Desktop\pipes\components\floor-form\floor-from.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 7, 94
"c:\Users\kopan\OneDrive\Desktop\pipes\components\header\header.module.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\kopan\OneDrive\Desktop\pipes\components\header\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\kopan\OneDrive\Desktop\pipes\components\manual-modal\manual-modal.module.css", "CSS", 0, 0, 0, 87, 0, 0, 0, 0, 0, 17, 104
